,component,ground truth,Execution_and_Component_Name,Execution_and_Component_Sourcecode,Execution_Rate_and_Component_Name,Execution_Rate_and_Component_Sourcecode,Scenario_and_Component_Name,Scenario_and_Component_Sourcecode
39,PingServlet2SessionLocal,0,0,0,0,0,0,0
40,PingServlet2SessionRemote,0,0,0,0,0,0,0
41,PingServlet2TwoPhase,0,0,0,0,0,0,0
42,PingServlet30Async,0,0,0,0,0,0,0
43,PingServlet31Async,0,0,0,0,0,0,0
44,PingServlet31AsyncRead,0,0,0,0,0,0,0
45,PingServletCDI,0,0,0,0,0,0,2
46,PingServletCDIBeanManagerViaCDICurrent,0,0,0,0,0,0,0
47,PingServletCDIBeanManagerViaJNDI,0,0,0,0,0,0,0
48,PingServletLargeContentLength,0,0,0,0,0,0,0
49,PingServletSetContentLength,0,0,0,0,0,0,0
50,PingServletWriter,0,0,0,0,0,0,0
51,PingSession1,0,0,0,0,0,0,0
52,PingSession2,0,0,0,0,0,0,0
53,PingSession3,0,0,0,0,0,0,0
54,PingSession3Object,0,0,0,0,0,0,0
55,PingUpgradeServlet,0,0,0,0,0,0,0
56,PingWebSocketBinary,0,0,0,0,0,0,0
57,PingWebSocketBinary(html),0,0,0,0,0,0,1
58,PingWebSocketJson,0,0,0,0,0,0,4
59,PingWebSocketJson(html),0,0,0,0,0,0,4
60,PingWebSocketTextAsync,0,0,0,0,0,0,0
61,PingWebSocketTextAsync(html),0,0,0,0,0,0,0
62,PingWebSocketTextSync,0,0,0,0,0,0,0
63,PingWebSocketTextSync(html),0,0,0,0,0,0,1
64,TestServlet,0,0,0,0,0,3,0
65,web_prmtv(html),0,0,0,0,0,3,0
66,web_prmtv(xhtml),0,0,0,0,0,3,0
67,account(jsp),1,1,1,1,1,1,3
68,account(xhtml),1,1,0,1,0,1,1
69,AccountDataBean,1,1,0,1,0,1,3
70,AccountDataJSF,1,1,0,1,0,1,3
71,accountejb(table),1,1,3,1,0,1,3
72,accountImg(jsp),1,1,1,1,1,3,3
73,AccountProfileDataBean,1,1,0,1,0,1,3
74,accountprofileejb(table),1,1,0,1,0,1,3
75,LoginValidator,1,1,0,0,0,3,3
76,register(jsp),1,1,1,1,1,1,1
77,registerImg(jsp),1,1,1,1,1,0,1
78,register(xhtml),1,1,0,1,0,1,1
79,JSFLoginFilter,1,0,0,0,0,3,0
80,welcome(xhtml),1,1,0,1,0,1,1
81,welcome(jsp),1,1,0,1,0,1,1
82,welcomeImg(jsp),1,1,1,1,1,0,1
83,order(jsp),2,2,2,2,2,2,3
84,order(xhtml),2,2,0,2,0,2,1
85,OrderData,2,2,0,2,0,2,3
86,OrderDataBean,2,2,0,2,2,2,3
87,CompleteOrderThread,2,2,2,2,2,2,3
88,OrderDataJSF,2,2,0,2,0,2,3
89,orderejb(table),2,2,3,2,0,2,3
90,orderImg(jsp),2,0,2,2,2,2,3
91,OrdersAlertFilter,2,1,3,0,0,1,3
92,portfolio(jsp),2,1,2,3,2,1,1
93,portfolio(xhtml),2,1,0,3,0,3,1
94,portfolioImg(jsp),2,3,2,0,2,3,1
95,PortfolioJSF,2,1,0,3,0,3,3
96,HoldingData,2,1,0,1,0,1,3
97,HoldingDataBean,2,1,0,1,2,1,3
98,holdingejb(table),2,1,0,1,0,1,3
99,DTBroker3MDB,2,0,0,0,2,3,3
100,displayQuote(jsp),3,3,3,3,3,3,3
101,DTStreamer3MDB,3,0,0,0,2,0,3
102,marketSummary(html),3,3,3,3,3,3,3
103,marketSummary(jsp),3,3,3,3,3,3,3
104,marketSummary(xhtml),3,3,0,3,0,3,1
105,MarketSummaryDataBean,3,3,3,3,3,3,3
106,MarketSummaryJSF,3,3,0,3,0,3,3
107,MarketSummarySingleton,3,3,0,3,0,3,3
108,MarketSummaryWebSocket,3,3,3,3,0,3,3
109,quote(jsp),3,3,3,3,3,3,3
110,quote(xhtml),3,3,0,3,0,3,1
111,QuoteData,3,3,0,3,0,3,3
112,QuoteDataBean,3,3,0,3,0,3,3
113,quoteDataPrimitive(jsp),3,3,0,3,0,3,0
114,quoteejb(table),3,3,0,3,0,3,3
115,quoteImg(jsp),3,3,3,3,3,3,3
116,QuoteJSF,3,3,0,3,0,3,3
117,RecentStockChangeList,3,1,3,3,0,1,3
118,config(jsp),4,1,0,1,4,3,1
119,config(xhtml),4,0,0,0,0,3,1
120,configure(html),4,0,0,0,0,3,1
121,configure(xhtml),4,0,0,0,0,3,1
122,TradeScenarioServlet,4,4,0,4,0,4,3
123,TradeBuildDB,4,4,4,4,4,4,3
124,TradeWebContextListener,4,4,0,4,0,4,3
125,TradeConfig,4,0,0,0,0,4,3
126,TradeConfigJSF,4,0,0,0,0,0,3
127,TradeConfigServlet,4,0,0,0,4,0,3
128,runStats(jsp),4,1,4,1,4,3,1
129,RunStatsDataBean,4,1,4,1,4,3,3
130,KeyBlock,-1,1,0,1,2,1,3
131,keygenejb(table),-1,1,0,1,4,3,3
132,KeySequenceDirect,-1,1,0,1,2,1,3
133,TradeAction,-1,4,0,4,0,4,3
134,TradeAppJSF,-1,4,0,4,0,4,3
135,TradeAppServlet,-1,4,0,4,0,4,3
136,TradeDirect,-1,4,0,4,0,4,3
137,TradeServices,-1,4,0,4,0,4,3
138,TradeServletAction,-1,4,0,4,0,4,3
139,TradeSLSBBean,-1,4,0,4,0,4,3
140,TradeSLSBLocal,-1,4,0,4,0,4,3
141,TradeSLSBRemote,-1,4,0,4,0,4,3
142,tradehome(jsp),-1,1,0,1,0,1,3
143,tradehome(xhtml),-1,4,0,4,0,4,1
144,tradehomeImg(jsp),-1,4,1,4,1,4,3
145,FinancialUtils,-1,1,3,0,0,1,3
146,MDBStats,-1,0,0,0,0,3,3
147,TimerStat,-1,0,0,0,2,3,3
148,TradeActionProducer,-1,4,0,4,0,4,3
149,Log,-1,1,0,1,0,1,3
150,contentHome(html),-1,0,0,0,0,3,1
151,footer(html),-1,1,0,0,0,0,1
152,glossary(html),-1,3,0,3,0,3,3
153,header(html),-1,0,0,0,0,0,1
154,index(html),-1,3,0,3,0,3,1
155,index(xhtml),-1,3,0,3,0,3,1
156,tradeFAQ(html),-1,4,0,4,0,4,1
157,tradeFAQ(xhtml),-1,4,0,4,0,4,1
158,tradeversion(html),-1,4,0,4,0,4,1
159,ActionDecoder,-1,1,3,3,3,3,3
160,ActionMessage,-1,1,3,3,3,1,3
161,ExternalContextProducer,-1,0,0,0,0,3,3
162,JsonDecoder,-1,0,0,0,0,3,4
163,JsonEncoder,-1,0,0,0,0,3,4
164,JsonMessage,-1,0,0,0,0,3,4
165,WebSocketJMSMessage,-1,1,0,0,0,3,1
166,error(jsp),-1,1,0,0,0,0,1
167,sample(jsp),-1,3,0,3,0,3,0
168,benchmarking(html),-1,3,0,3,0,3,1
169,documentation(html),-1,3,0,3,0,3,1
170,leftMenu(html),-1,1,0,1,0,1,1
171,rtCharacterisitics(html),-1,0,0,0,0,0,3
,,Accuracy,0.872093023,0.755813953,0.877906977,0.773255814,0.837209302,0.680232558
